domain,email,source_url,source_type,source_kind,found_in,crawl_depth,confidence_score,confidence_label,reason_flags,sighting_count,verification_status,deliverability_confidence,resolved_company_domain,identity_confidence
chat-gpt.photos,info@chat-gpt.photos,https://chat-gpt.photos/,httpx,site_page,cf_obfuscated,0,100,high,site_source|generic_mailbox|domain_match_exact|sightings_4|verified,4,verified,90,chat-gpt.photos,90
bridesmaidforhire.com,jen@bridesmaidforhire.com,https://bridesmaidforhire.com/contact/,httpx,site_page,mailto,1,100,high,site_source|contact_page|untyped_mailbox|domain_match_exact|sightings_2|verified,2,verified,90,bridesmaidforhire.com,90
orgengage.com,support@orgengage.com,https://orgengage.com/,httpx,site_page,mailto,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_9|verified,9,verified,90,orgengage.com,90
website.ddevi.com,error-lite@duckduckgo.com,https://duckduckgo.com/html/?q=site%3Awebsite.ddevi.com+%22%40website.ddevi.com%22,osint,search_snippet,snippet_regex,0,80,high,osint_source|untyped_mailbox|domain_mismatch|sightings_3|verified,3,verified,90,website.ddevi.com,40
blocksurvey.io,raja@blocksurvey.io,https://blocksurvey.io/terms-conditions,httpx,site_page,cf_obfuscated,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,blocksurvey.io,90
aiforme.wiki,error-lite@duckduckgo.com,https://duckduckgo.com/html/?q=site%3Aaiforme.wiki+%22%40aiforme.wiki%22,osint,search_snippet,snippet_regex,0,80,high,osint_source|untyped_mailbox|domain_mismatch|sightings_3|verified,3,verified,90,aiforme.wiki,40
aiqrart.co,error-lite+9318@duckduckgo.com,https://duckduckgo.com/html/?q=%22%40aiqrart.co%22+%22contact%22,osint,search_snippet,snippet_regex,0,76,high,osint_source|untyped_mailbox|domain_mismatch|sightings_2|verified,2,verified,90,aiqrart.co,40
aiqrhub.com,ljinkai100@gmail.com,https://aiqrhub.com/contact,httpx,site_page,mailto,1,90,high,site_source|contact_page|untyped_mailbox|domain_mismatch|sightings_1|verified,1,verified,90,aiqrhub.com,40
airplane.dev,error-lite+9318@duckduckgo.com,https://duckduckgo.com/html/?q=site%3Aairplane.dev+%22%40airplane.dev%22,osint,search_snippet,snippet_regex,0,80,high,osint_source|untyped_mailbox|domain_mismatch|sightings_3|verified,3,verified,90,airplane.dev,40
newmode.ai,contact@newmode.ai,https://newmode.ai,httpx,site_page,mailto,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_10|verified,10,verified,90,newmode.ai,90
onclarity.com,legal@onclarity.com,https://www.onclarity.com/legal-pages/legal-center,httpx,site_page,html,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_5|verified,5,verified,90,onclarity.com,90
apostrophecms.com,info@apostrophecms.com,https://apostrophecms.com/privacy-policy,httpx,site_page,html,1,100,high,site_source|generic_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,apostrophecms.com,90
artvisioai.com,error-lite+9318@duckduckgo.com,https://duckduckgo.com/html/?q=site%3Aartvisioai.com+%22%40artvisioai.com%22,osint,search_snippet,snippet_regex,0,80,high,osint_source|untyped_mailbox|domain_mismatch|sightings_3|verified,3,verified,90,artvisioai.com,40
arvin.chat,error-lite+9318@duckduckgo.com,https://duckduckgo.com/html/?q=site%3Aarvin.chat+%22%40arvin.chat%22,osint,search_snippet,snippet_regex,0,80,high,osint_source|untyped_mailbox|domain_mismatch|sightings_3|verified,3,verified,90,arvin.chat,40
zorp.one,support@zorp.one,https://www.zorp.one/asset-management,httpx,site_page,cf_obfuscated,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_9|verified,9,verified,90,zorp.one,90
skillprepare.com,team@skillprepare.com,https://skillprepare.com/astro-typers-free-typing-game/,httpx,site_page,html,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_10|verified,10,verified,90,skillprepare.com,90
audionotes.app,hello@audionotes.app,https://www.audionotes.app/,httpx,site_page,mailto,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_10|verified,10,verified,90,audionotes.app,90
writesonic.com,support@writesonic.com,https://writesonic.com/privacy-policy,httpx,site_page,cf_obfuscated,1,100,high,site_source|useful_mailbox|domain_match_exact|sightings_5|verified,5,verified,90,writesonic.com,90
awesomesuite.com,,,,,,,0,reject,no_emails_found,0,unknown,0,awesomesuite.com,0
awsfundamentals.com,hello@awsfundamentals.com,https://awsfundamentals.com/,httpx,site_page,mailto,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_8|verified,8,verified,90,awsfundamentals.com,90
awtomic.com,careers@awtomic.com,https://www.awtomic.com/about,httpx,site_page,mailto,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,awtomic.com,90
batteryboi.ovatar.io,,,,,,,0,reject,no_emails_found,0,unknown,0,batteryboi.ovatar.io,0
beau.to,hello@beau.to,https://beau.to/,httpx,site_page,mailto,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,beau.to,90
hugedomains.com,,,,,,,0,reject,no_emails_found,0,unknown,0,hugedomains.com,0
trybento.co,support@trybento.co,https://www.trybento.co/legal/terms-of-service,httpx,site_page,cf_obfuscated,1,100,high,site_source|useful_mailbox|domain_match_exact|sightings_4|risky,4,risky,45,trybento.co,90
bestcssbuttongenerator.com,,,,,,,0,reject,no_emails_found,0,unknown,0,bestcssbuttongenerator.com,0
bestreminderapp.com,contact@bestreminderapp.com,https://bestreminderapp.com/,httpx,site_page,html,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_3|verified,3,verified,90,bestreminderapp.com,90
betterpic.io,support@betterpic.io,https://www.betterpic.io/,httpx,site_page,html,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_9|verified,9,verified,90,betterpic.io,90
blitz-rn.com,,,,,,,0,reject,no_emails_found,0,unknown,0,blitz-rn.com,0
philipithomas.com,mail@philipithomas.com,https://www.philipithomas.com/privacy,httpx,site_page,mailto,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,philipithomas.com,90
boolv.video,support@boolvector.com,https://boolv.video/,httpx,site_page,mailto,0,92,high,site_source|useful_mailbox|domain_mismatch|sightings_1|verified,1,verified,90,boolv.video,40
boringcashcow.com,hi@staticmaker.com,https://boringcashcow.com/,httpx,site_page,mailto,0,98,high,site_source|untyped_mailbox|domain_mismatch|sightings_10|verified,10,verified,90,boringcashcow.com,40
brainstormer.online,brainstormer.online@gmail.com,https://www.brainstormer.online,httpx,site_page,mailto,0,98,high,site_source|untyped_mailbox|domain_mismatch|sightings_5|verified,5,verified,90,brainstormer.online,40
briefy.ai,hello@briefy.ai,https://briefy.ai/,httpx,site_page,mailto,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_10|verified,10,verified,90,briefy.ai,90
buildshare.io,,,,,,,0,reject,no_emails_found,0,unknown,0,buildshare.io,0
cannoli.app,,,,,,,0,reject,no_emails_found,0,unknown,0,cannoli.app,0
moon0nnotion.gumroad.com,,,,,,,0,reject,no_emails_found,0,unknown,0,moon0nnotion.gumroad.com,0
insights.miro.com,hello@cardinalapp.io,https://insights.miro.com/,httpx,site_page,mailto,0,96,high,site_source|useful_mailbox|domain_mismatch|sightings_2|verified,2,verified,90,insights.miro.com,40
careerspark.io,support@careerspark.io,https://careerspark.io/,httpx,site_page,cf_obfuscated,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_5|verified,5,verified,90,careerspark.io,90
openai.com,,,,,,,0,reject,no_emails_found,0,unknown,0,openai.com,0
davidecamera.gumroad.com,,,,,,,0,reject,no_emails_found,0,unknown,0,davidecamera.gumroad.com,0
classyfont.com,,,,,,,0,reject,no_emails_found,0,unknown,0,classyfont.com,0
clone-ui.design,,,,,,,0,reject,no_emails_found,0,unknown,0,clone-ui.design,0
adadot.com,info@adadot.com,https://adadot.com/codereactions.html,httpx,site_page,mailto,0,100,high,site_source|generic_mailbox|domain_match_exact|sightings_8|verified,8,verified,90,adadot.com,90
codewiz.app,,,,,,,0,reject,no_emails_found,0,unknown,0,codewiz.app,0
codingdrills.com,,,,,,,0,reject,no_emails_found,0,unknown,0,codingdrills.com,0
coinfeeds.ai,,,,,,,0,reject,no_emails_found,0,unknown,0,coinfeeds.ai,0
commented.io,support@commented.io,https://www.commented.io/contact-us,httpx,site_page,mailto,1,100,high,site_source|contact_page|useful_mailbox|domain_match_exact|sightings_2|verified,2,verified,90,commented.io,90
config.tips,,,,,,,0,reject,no_emails_found,0,unknown,0,config.tips,0
culrs.com,,,,,,,0,reject,no_emails_found,0,unknown,0,culrs.com,0
dailydomains.io,,,,,,,0,reject,no_emails_found,0,unknown,0,dailydomains.io,0
datagalaxy.com,,,,,,,0,reject,no_emails_found,0,unknown,0,datagalaxy.com,0
thedeepen.app,,,,,,,0,reject,no_emails_found,0,unknown,0,thedeepen.app,0
designplusmotion.com,stephanzammit@designplusmotion.com,https://designplusmotion.com/,httpx,site_page,mailto,0,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_5|verified,5,verified,90,designplusmotion.com,90
devhunt.org,funding@vitalentum.net,https://devhunt.org/upcoming,httpx,site_page,html,1,82,high,site_source|untyped_mailbox|domain_mismatch|sightings_1|verified,1,verified,90,devhunt.org,40
dokkio.com,sales@dokkio.com,https://www.dokkio.com/ai2023,httpx,site_page,mailto,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_10|verified,10,verified,90,dokkio.com,90
doodlocracy.com,,,,,,,0,reject,no_emails_found,0,unknown,0,doodlocracy.com,0
dotcal.co,,,,,,,0,reject,no_emails_found,0,unknown,0,dotcal.co,0
drlambda.ai,,,,,,,0,reject,no_emails_found,0,unknown,0,drlambda.ai,0
draftsparks.com,,,,,,,0,reject,no_emails_found,0,unknown,0,draftsparks.com,0
droppedhub.com,info@droppedhub.com,https://droppedhub.com/,httpx,site_page,html,0,100,high,site_source|generic_mailbox|domain_match_exact|sightings_6|verified,6,verified,90,droppedhub.com,90
producthunt.com,,,,,,,0,reject,no_emails_found,0,unknown,0,producthunt.com,0
elephas.app,support@elephas.app,https://elephas.app/,httpx,site_page,mailto,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_8|verified,8,verified,90,elephas.app,90
embeddable.com,,,,,,,0,reject,no_emails_found,0,unknown,0,embeddable.com,0
emojicombiner.com,,,,,,,0,reject,no_emails_found,0,unknown,0,emojicombiner.com,0
essay-builder.ai,hello@essay-builder.ai,https://essay-builder.ai/,httpx,site_page,cf_obfuscated,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,essay-builder.ai,90
essay.admitschool.com,,,,,,,0,reject,no_emails_found,0,unknown,0,essay.admitschool.com,0
iamsourabhshen.gumroad.com,,,,,,,0,reject,no_emails_found,0,unknown,0,iamsourabhshen.gumroad.com,0
fastfacts7.com,,,,,,,0,reject,no_emails_found,0,unknown,0,fastfacts7.com,0
openpedia.io,,,,,,,0,reject,no_emails_found,0,unknown,0,openpedia.io,0
fedica.com,,,,,,,0,reject,no_emails_found,0,unknown,0,fedica.com,0
moka.care,,,,,,,0,reject,no_emails_found,0,unknown,0,moka.care,0
xata.io,info@xata.io,https://xata.io/file-attachments,httpx,site_page,mailto,0,100,high,site_source|generic_mailbox|domain_match_exact|sightings_9|verified,9,verified,90,xata.io,90
findcool.tools,,,,,,,0,reject,no_emails_found,0,unknown,0,findcool.tools,0
findmycat.io,,,,,,,0,reject,no_emails_found,0,unknown,0,findmycat.io,0
firsthr.app,anisimov@firsthr.app,https://firsthr.app/,httpx,site_page,mailto,0,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_3|verified,3,verified,90,firsthr.app,90
fitmap.in,,,,,,,0,reject,no_emails_found,0,unknown,0,fitmap.in,0
flavoredresume.com,support@flavoredresume.com,https://flavoredresume.com/,httpx,site_page,cf_obfuscated,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_10|verified,10,verified,90,flavoredresume.com,90
flowcanvas.io,,,,,,,0,reject,no_emails_found,0,unknown,0,flowcanvas.io,0
focusdoro.com,tryfocusdoro@gmail.com,https://focusdoro.com/,httpx,site_page,mailto,0,98,high,site_source|untyped_mailbox|domain_mismatch|sightings_8|verified,8,verified,90,focusdoro.com,40
fontima.com,,,,,,,0,reject,no_emails_found,0,unknown,0,fontima.com,0
frameplate.co,frameplateco@gmail.com,https://frameplate.co/privacy-policy,httpx,site_page,html,1,82,high,site_source|untyped_mailbox|domain_mismatch|sightings_1|verified,1,verified,90,frameplate.co,40
dover.com,hello@dover.com,https://www.dover.com/ats,httpx,site_page,mailto,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_9|verified,9,verified,90,dover.com,90
allprompts.com,,,,,,,0,reject,no_emails_found,0,unknown,0,allprompts.com,0
freelogo.dev,,,,,,,0,reject,no_emails_found,0,unknown,0,freelogo.dev,0
freshremote.work,,,,,,,0,reject,no_emails_found,0,unknown,0,freshremote.work,0
frienzy.com,,,,,,,0,reject,no_emails_found,0,unknown,0,frienzy.com,0
frond.com,hello@frond.com,https://frond.com/,httpx,site_page,mailto,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,frond.com,90
frontyssey.com,,,,,,,0,reject,no_emails_found,0,unknown,0,frontyssey.com,0
funcannyai.com,,,,,,,0,reject,no_emails_found,0,unknown,0,funcannyai.com,0
ishi.so,enterprise@ishi.so,https://ishi.so/enterprise,httpx,site_page,mailto,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,ishi.so,90
genieeai.com,,,,,,,0,reject,no_emails_found,0,unknown,0,genieeai.com,0
goless.com,,,,,,,0,reject,no_emails_found,0,unknown,0,goless.com,0
accounts.google.com,,,,,,,0,reject,no_emails_found,0,unknown,0,accounts.google.com,0
invertedstone.com,hey@invertedstone.com,https://invertedstone.com/contact,httpx,site_page,mailto,1,100,high,site_source|contact_page|untyped_mailbox|domain_match_exact|sightings_2|verified,2,verified,90,invertedstone.com,90
islaregalos.com,,,,,,,0,reject,no_emails_found,0,unknown,0,islaregalos.com,0
livepolls.app,,,,,,,0,reject,no_emails_found,0,unknown,0,livepolls.app,0
gptbots.ai,,,,,,,0,reject,no_emails_found,0,unknown,0,gptbots.ai,0
graphite.com,billing@graphite.com,https://graphite.com/contact-us,httpx,site_page,mailto,1,100,high,site_source|contact_page|untyped_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,graphite.com,90
greenish.careers,philipp@greenish.careers,https://greenish.careers/en,httpx,site_page,mailto,0,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_9|verified,9,verified,90,greenish.careers,90
t.me,,,,,,,0,reject,no_emails_found,0,unknown,0,t.me,0
gryzzly.io,,,,,,,0,reject,no_emails_found,0,unknown,0,gryzzly.io,0
guideofaitool.com,mail@info.com,https://www.guideofaitool.com/contact-us,httpx,site_page,html,1,100,high,site_source|contact_page|untyped_mailbox|domain_mismatch|sightings_9|verified,9,verified,90,guideofaitool.com,40
wedoflow.com,support@wedoflow.com,https://wedoflow.com/privacy,httpx,site_page,html,1,100,high,site_source|useful_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,wedoflow.com,90
handstime.app,handstime.app@gmail.com,https://www.handstime.app/privacy,httpx,site_page,mailto,1,86,high,site_source|untyped_mailbox|domain_mismatch|sightings_2|verified,2,verified,90,handstime.app,40
healsens.com,contact@healsens.com,https://healsens.com/,httpx,site_page,html,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_10|verified,10,verified,90,healsens.com,90
heyscribe.com,,,,,,,0,reject,no_emails_found,0,unknown,0,heyscribe.com,0
hoppscotch.io,,,,,,,0,reject,no_emails_found,0,unknown,0,hoppscotch.io,0
matheusmello.gumroad.com,,,,,,,0,reject,no_emails_found,0,unknown,0,matheusmello.gumroad.com,0
illustration.so,,,,,,,0,reject,no_emails_found,0,unknown,0,illustration.so,0
inai.io,customer.success@inai.io,https://inai.io?hsLang=en,httpx,site_page,mailto,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_2|verified,2,verified,90,inai.io,90
indexguru.com,team@indexguru.com,https://indexguru.com/privacy,httpx,site_page,html,1,100,high,site_source|useful_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,indexguru.com,90
ingredients.tech,,,,,,,0,reject,no_emails_found,0,unknown,0,ingredients.tech,0
akurateco.com,business@akurateco.com,https://akurateco.com/contact-us,httpx,site_page,jsonld,1,100,high,site_source|contact_page|untyped_mailbox|domain_match_exact|sightings_2|verified,2,verified,90,akurateco.com,90
futureleomusic.com,,,,,,,0,reject,no_emails_found,0,unknown,0,futureleomusic.com,0
ioni.ai,sergey@ioni.ai,https://ioni.ai/privacy-policy,httpx,site_page,html,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_2|verified,2,verified,90,ioni.ai,90
ipsync.link,,,,,,,0,reject,no_emails_found,0,unknown,0,ipsync.link,0
ja3.pro,,,,,,,0,reject,no_emails_found,0,unknown,0,ja3.pro,0
ironballoonstudios.com,hello@ironballoonstudios.com,https://www.ironballoonstudios.com/apps/jam,httpx,site_page,mailto,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_5|verified,5,verified,90,ironballoonstudios.com,90
jimo.ai,thomas@usejimo.com,https://jimo.ai/,httpx,site_page,mailto,0,98,high,site_source|untyped_mailbox|domain_mismatch|sightings_9|verified,9,verified,90,jimo.ai,40
jupitrr.com,,,,,,,0,reject,no_emails_found,0,unknown,0,jupitrr.com,0
kbasebot.com,hi@emadev.co,https://kbasebot.com/maintenance,httpx,site_page,mailto,0,82,high,site_source|untyped_mailbox|domain_mismatch|sightings_1|verified,1,verified,90,kbasebot.com,40
klu.so,sami@klu.so,https://klu.so/,httpx,site_page,mailto,0,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,klu.so,90
kula.ai,privacy@kula.ai,https://www.kula.ai/legal,httpx,site_page,mailto,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,kula.ai,90
app.kyugo.app,anders@kyugo.app,https://app.kyugo.app/,httpx,site_page,mailto,0,100,high,site_source|untyped_mailbox|domain_match_related|sightings_10|verified,10,verified,90,app.kyugo.app,75
ajinkyabhat.com,,,,,,,0,reject,no_emails_found,0,unknown,0,ajinkyabhat.com,0
lemcal.com,support@lemcal.com,https://lemcal.com/terms,httpx,site_page,mailto,1,100,high,site_source|useful_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,lemcal.com,90
liveblocks.io,support@liveblocks.io,https://liveblocks.io/contact,httpx,site_page,mailto,1,100,high,site_source|contact_page|useful_mailbox|domain_match_exact|sightings_2|verified,2,verified,90,liveblocks.io,90
loom.com,,,,,,,0,reject,no_emails_found,0,unknown,0,loom.com,0
loops.so,support@loops.so,https://loops.so/,httpx,site_page,cf_obfuscated,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_7|verified,7,verified,90,loops.so,90
luckydiem.com,,,,,,,0,reject,no_emails_found,0,unknown,0,luckydiem.com,0
m1-project.com,support@m1-project.com,https://www.m1-project.com/,httpx,site_page,mailto,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_10|verified,10,verified,90,m1-project.com,90
macaddresslookup.org,,,,,,,0,reject,no_emails_found,0,unknown,0,macaddresslookup.org,0
maekersuite.com,careers@maekersuite.com,https://maekersuite.com/company/careers,httpx,site_page,mailto,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,maekersuite.com,90
magicsnap.ai,,,,,,,0,reject,no_emails_found,0,unknown,0,magicsnap.ai,0
founderpal.ai,,,,,,,0,reject,no_emails_found,0,unknown,0,founderpal.ai,0
marketsy.ai,team@marketsy.ai,https://marketsy.ai/privacy-policy,httpx,site_page,mailto,1,100,high,site_source|useful_mailbox|domain_match_exact|sightings_2|verified,2,verified,90,marketsy.ai,90
maximus.guru,,,,,,,0,reject,no_emails_found,0,unknown,0,maximus.guru,0
heykelseys.gumroad.com,,,,,,,0,reject,no_emails_found,0,unknown,0,heykelseys.gumroad.com,0
meiro.cc,hello@meiro.cc,https://meiro.cc/,httpx,site_page,mailto,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_9|verified,9,verified,90,meiro.cc,90
meln.ai,,,,,,,0,reject,no_emails_found,0,unknown,0,meln.ai,0
microphonetest.com,,,,,,,0,reject,no_emails_found,0,unknown,0,microphonetest.com,0
mindmeldcanvas.com,admin@themetags.com,https://mindmeldcanvas.com/dashboard/templates/blog-section,httpx,site_page,html,1,85,high,site_source|generic_mailbox|domain_mismatch|sightings_1|verified,1,verified,90,mindmeldcanvas.com,40
mindpal.space,,,,,,,0,reject,no_emails_found,0,unknown,0,mindpal.space,0
miro.com,,,,,,,0,reject,no_emails_found,0,unknown,0,miro.com,0
modernquery.io,,,,,,,0,reject,no_emails_found,0,unknown,0,modernquery.io,0
monsterhunternow.com,asuon@nianticlabs.com,https://monsterhunternow.com/,httpx,site_page,html,0,82,high,site_source|untyped_mailbox|domain_mismatch|sightings_1|verified,1,verified,90,monsterhunternow.com,40
monsterimage.ai,,,,,,,0,reject,no_emails_found,0,unknown,0,monsterimage.ai,0
loopple.com,loopplecontact@gmail.com,https://www.loopple.com/contact,httpx,site_page,cf_obfuscated,1,90,high,site_source|contact_page|untyped_mailbox|domain_mismatch|sightings_1|verified,1,verified,90,loopple.com,40
mubr.app,,,,,,,0,reject,no_emails_found,0,unknown,0,mubr.app,0
mydataninja.com,sales@mydataninja.com,https://mydataninja.com/contact-us/,httpx,site_page,mailto,1,100,high,site_source|contact_page|useful_mailbox|domain_match_exact|sightings_2|verified,2,verified,90,mydataninja.com,90
mygptbrain.com,,,,,,,0,reject,no_emails_found,0,unknown,0,mygptbrain.com,0
myreach.io,security@rea.ch,https://myreach.io/privacy-policies,httpx,site_page,html,1,86,high,site_source|untyped_mailbox|domain_mismatch|sightings_2|verified,2,verified,90,myreach.io,40
nappr.io,,,,,,,0,reject,no_emails_found,0,unknown,0,nappr.io,0
trynara.com,,,,,,,0,reject,no_emails_found,0,unknown,0,trynara.com,0
dolpin.io,,,,,,,0,reject,no_emails_found,0,unknown,0,dolpin.io,0
notesnudge.com,support@notesnudge.com,https://www.notesnudge.com/,httpx,site_page,mailto,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_3|verified,3,verified,90,notesnudge.com,90
aadityaa04.gumroad.com,,,,,,,0,reject,no_emails_found,0,unknown,0,aadityaa04.gumroad.com,0
notionauts.co,,,,,,,0,reject,no_emails_found,0,unknown,0,notionauts.co,0
notionlytics.com,support@notionlytics.com,https://notionlytics.com/en,httpx,site_page,cf_obfuscated,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_4|verified,4,verified,90,notionlytics.com,90
off-grid.design,,,,,,,0,reject,no_emails_found,0,unknown,0,off-grid.design,0
onemorethinginai.com,privacy@onemorethinginai.com,https://www.onemorethinginai.com/privacy-policy,httpx,site_page,mailto,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_2|verified,2,verified,90,onemorethinginai.com,90
oneaudio.ai,support@oneaudio.ai,https://www.oneaudio.ai/,httpx,site_page,html,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_2|verified,2,verified,90,oneaudio.ai,90
affordhunt.com,,,,,,,0,reject,no_emails_found,0,unknown,0,affordhunt.com,0
openinterpreter.com,,,,,,,0,reject,no_emails_found,0,unknown,0,openinterpreter.com,0
github.com,copilot-safety@github.com,https://github.com/features/copilot,httpx,site_page,mailto,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,github.com,90
ui.osohq.com,,,,,,,0,reject,no_emails_found,0,unknown,0,ui.osohq.com,0
papermark.com,support@papermark.com,https://www.papermark.com/privacy,httpx,site_page,html,1,100,high,site_source|useful_mailbox|domain_match_exact|sightings_2|verified,2,verified,90,papermark.com,90
partnerverse.online,,,,,,,0,reject,no_emails_found,0,unknown,0,partnerverse.online,0
pasteapp.io,help@pasteapp.io,https://pasteapp.io/privacy,httpx,site_page,html,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_2|verified,2,verified,90,pasteapp.io,90
magicpatterns.com,support@magicpatterns.com,https://www.magicpatterns.com/,httpx,site_page,html,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_10|verified,10,verified,90,magicpatterns.com,90
pdfhippo.com,info@pdfhippo.com,https://www.pdfhippo.com/,httpx,site_page,cf_obfuscated,0,100,high,site_source|generic_mailbox|domain_match_exact|sightings_8|verified,8,verified,90,pdfhippo.com,90
