domain,receiver_email,email,notes,scrape_source
digitalnomadshq.com.au,hello@dnhq.com.au,hello@dnhq.com.au,score=100; band=tier_a; delivery=valid; source=https://digitalnomadshq.com.au/,site_page
beau.to,hello@beau.to,hello@beau.to,score=100; band=tier_a; delivery=valid; source=https://beau.to/,site_page
trybento.co,hello@trybento.co,hello@trybento.co,score=46; band=tier_c; delivery=unknown; source=https://www.trybento.co/products/bentoai,pattern_inferred
bestcssbuttongenerator.com,css.generator@bestcssbuttongenerator.com,css.generator@bestcssbuttongenerator.com,score=67; band=tier_c; delivery=valid; source=https://www.bestcssbuttongenerator.com/,pattern_inferred
bestreminderapp.com,contact@bestreminderapp.com,contact@bestreminderapp.com,score=100; band=tier_a; delivery=valid; source=https://bestreminderapp.com/,site_page
betterpic.io,hello@betterpic.io,hello@betterpic.io,score=77; band=tier_c; delivery=valid; source=https://www.betterpic.io/,pattern_inferred
boolv.video,hello@boolv.video,hello@boolv.video,score=77; band=tier_c; delivery=valid; source=https://boolv.video/,pattern_inferred
boringcashcow.com,hi@staticmaker.com,hi@staticmaker.com,score=98; band=tier_a; delivery=valid; source=https://boringcashcow.com/,site_page
brainstormer.online,hello@brainstormer.online,hello@brainstormer.online,score=77; band=tier_c; delivery=valid; source=https://www.brainstormer.online,pattern_inferred
briefy.ai,hello@briefy.ai,hello@briefy.ai,score=100; band=tier_a; delivery=valid; source=https://briefy.ai/,site_page
careerspark.io,hello@careerspark.io,hello@careerspark.io,score=77; band=tier_c; delivery=valid; source=https://careerspark.io/,pattern_inferred
davidecamera.gumroad.com,chatgpt.intelligence@davidecamera.gumroad.com,chatgpt.intelligence@davidecamera.gumroad.com,score=36; band=tier_d; delivery=unknown; source=https://davidecamera.gumroad.com/l/ChatGPT_AI,pattern_inferred
adadot.com,hello@adadot.com,hello@adadot.com,score=77; band=tier_c; delivery=valid; source=https://adadot.com/codereactions.html,pattern_inferred
commented.io,hello@commented.io,hello@commented.io,score=77; band=tier_c; delivery=valid; source=https://www.commented.io/,pattern_inferred
datagalaxy.com,datagalaxy.platform@datagalaxy.com,datagalaxy.platform@datagalaxy.com,score=67; band=tier_c; delivery=valid; source=https://www.datagalaxy.com/en/,pattern_inferred
designplusmotion.com,hello@designplusmotion.com,hello@designplusmotion.com,score=77; band=tier_c; delivery=valid; source=https://designplusmotion.com/,pattern_inferred
devhunt.org,hello@devhunt.org,hello@devhunt.org,score=77; band=tier_c; delivery=valid; source=https://devhunt.org/,pattern_inferred
dokkio.com,sales@dokkio.com,sales@dokkio.com,score=100; band=tier_a; delivery=valid; source=https://www.dokkio.com/ai2023,site_page
droppedhub.com,hello@droppedhub.com,hello@droppedhub.com,score=77; band=tier_c; delivery=valid; source=https://droppedhub.com/,pattern_inferred
elephas.app,hello@elephas.app,hello@elephas.app,score=77; band=tier_c; delivery=valid; source=https://elephas.app/,pattern_inferred
essay-builder.ai,hello@essay-builder.ai,hello@essay-builder.ai,score=100; band=tier_a; delivery=valid; source=https://essay-builder.ai/,site_page
iamsourabhshen.gumroad.com,notion.tracker@iamsourabhshen.gumroad.com,notion.tracker@iamsourabhshen.gumroad.com,score=36; band=tier_d; delivery=unknown; source=https://iamsourabhshen.gumroad.com/l/expense-tracker/PH100,pattern_inferred
openpedia.io,hello@openpedia.io,hello@openpedia.io,score=77; band=tier_c; delivery=valid; source=https://openpedia.io/get-featured/,pattern_inferred
xata.io,hello@xata.io,hello@xata.io,score=77; band=tier_c; delivery=valid; source=https://xata.io/file-attachments,pattern_inferred
firsthr.app,hello@firsthr.app,hello@firsthr.app,score=77; band=tier_c; delivery=valid; source=https://firsthr.app/,pattern_inferred
fitmap.in,contact.fitmap@fitmap.in,contact.fitmap@fitmap.in,score=77; band=tier_c; delivery=valid; source=https://fitmap.in/fitmap-app,pattern_inferred
flavoredresume.com,hello@flavoredresume.com,hello@flavoredresume.com,score=77; band=tier_c; delivery=valid; source=https://flavoredresume.com/,pattern_inferred
focusdoro.com,hello@focusdoro.com,hello@focusdoro.com,score=46; band=tier_c; delivery=unknown; source=https://focusdoro.com/,pattern_inferred
frameplate.co,hello@frameplate.co,hello@frameplate.co,score=77; band=tier_c; delivery=valid; source=https://frameplate.co/,pattern_inferred
dover.com,hello@dover.com,hello@dover.com,score=100; band=tier_a; delivery=valid; source=https://www.dover.com/ats,site_page
frond.com,hello@frond.com,hello@frond.com,score=100; band=tier_a; delivery=valid; source=https://frond.com/,site_page
goless.com,hello@goless.com,hello@goless.com,score=77; band=tier_c; delivery=valid; source=https://goless.com/,pattern_inferred
invertedstone.com,hello@invertedstone.com,hello@invertedstone.com,score=77; band=tier_c; delivery=valid; source=https://invertedstone.com/store/multi-ai-google-sheets-script,pattern_inferred
greenish.careers,hello@greenish.careers,hello@greenish.careers,score=77; band=tier_c; delivery=valid; source=https://greenish.careers/en,pattern_inferred
gryzzly.io,hello@gryzzly.io,hello@gryzzly.io,score=100; band=tier_a; delivery=valid; source=https://www.gryzzly.io/en/legal/,site_page
guideofaitool.com,hello@guideofaitool.com,hello@guideofaitool.com,score=77; band=tier_c; delivery=valid; source=https://www.guideofaitool.com/,pattern_inferred
wedoflow.com,hello@wedoflow.com,hello@wedoflow.com,score=100; band=tier_a; delivery=valid; source=https://wedoflow.com/,site_page
handstime.app,hello@handstime.app,hello@handstime.app,score=46; band=tier_c; delivery=unknown; source=https://www.handstime.app/,pattern_inferred
healsens.com,contact@healsens.com,contact@healsens.com,score=100; band=tier_a; delivery=valid; source=https://healsens.com/,site_page
matheusmello.gumroad.com,html.mello@matheusmello.gumroad.com,html.mello@matheusmello.gumroad.com,score=36; band=tier_d; delivery=unknown; source=https://matheusmello.gumroad.com/l/html-and-css-for-beginners,pattern_inferred
illustration.so,hello@illustration.so,hello@illustration.so,score=77; band=tier_c; delivery=valid; source=https://illustration.so/,pattern_inferred
inai.io,hello@inai.io,hello@inai.io,score=77; band=tier_c; delivery=valid; source=https://inai.io/revenue-optimization,pattern_inferred
akurateco.com,business@akurateco.com,business@akurateco.com,score=100; band=tier_a; delivery=valid; source=https://akurateco.com/contact-us,site_page
ioni.ai,hello@ioni.ai,hello@ioni.ai,score=77; band=tier_c; delivery=valid; source=https://ioni.ai/,pattern_inferred
ironballoonstudios.com,hello@ironballoonstudios.com,hello@ironballoonstudios.com,score=100; band=tier_a; delivery=valid; source=https://www.ironballoonstudios.com/apps/jam,site_page
kbasebot.com,hi@emadev.co,hi@emadev.co,score=82; band=tier_b; delivery=valid; source=https://kbasebot.com/maintenance,site_page
klu.so,hello@klu.so,hello@klu.so,score=77; band=tier_c; delivery=valid; source=https://klu.so/,pattern_inferred
kula.ai,hello@kula.ai,hello@kula.ai,score=77; band=tier_c; delivery=valid; source=https://www.kula.ai/,pattern_inferred
app.kyugo.app,hello@app.kyugo.app,hello@app.kyugo.app,score=46; band=tier_c; delivery=unknown; source=https://app.kyugo.app/,pattern_inferred
lemcal.com,contact@lempire.co,contact@lempire.co,score=92; band=tier_b; delivery=valid; source=https://lemcal.com/privacy-policy,site_page
liveblocks.io,hello@liveblocks.io,hello@liveblocks.io,score=100; band=tier_a; delivery=valid; source=https://liveblocks.io/privacy,site_page
loops.so,hello@gmail.com,hello@gmail.com,score=100; band=tier_a; delivery=valid; source=https://loops.so/docs/sdks/javascript,site_page
m1-project.com,hello@m1-project.com,hello@m1-project.com,score=77; band=tier_c; delivery=valid; source=https://www.m1-project.com/,pattern_inferred
maekersuite.com,hello@maekersuite.com,hello@maekersuite.com,score=77; band=tier_c; delivery=valid; source=https://maekersuite.com/,pattern_inferred
marketsy.ai,team@marketsy.ai,team@marketsy.ai,score=100; band=tier_a; delivery=valid; source=https://marketsy.ai/privacy-policy,site_page
meiro.cc,hello@meiro.cc,hello@meiro.cc,score=100; band=tier_a; delivery=valid; source=https://meiro.cc/,site_page
microphonetest.com,mic.online@microphonetest.com,mic.online@microphonetest.com,score=36; band=tier_d; delivery=unknown; source=https://www.microphonetest.com/,pattern_inferred
mindmeldcanvas.com,hello@mindmeldcanvas.com,hello@mindmeldcanvas.com,score=77; band=tier_c; delivery=valid; source=https://mindmeldcanvas.com/,pattern_inferred
monsterhunternow.com,hello@monsterhunternow.com,hello@monsterhunternow.com,score=46; band=tier_c; delivery=unknown; source=https://monsterhunternow.com/,pattern_inferred
loopple.com,hello@loopple.com,hello@loopple.com,score=77; band=tier_c; delivery=valid; source=https://www.loopple.com/low-code-builder/theme/motion-landing-library,pattern_inferred
mydataninja.com,sales@mydataninja.com,sales@mydataninja.com,score=100; band=tier_a; delivery=valid; source=https://mydataninja.com/contact-us/,site_page
myreach.io,hello@myreach.io,hello@myreach.io,score=77; band=tier_c; delivery=valid; source=https://myreach.io/,pattern_inferred
notesnudge.com,hello@notesnudge.com,hello@notesnudge.com,score=77; band=tier_c; delivery=valid; source=https://www.notesnudge.com/,pattern_inferred
aadityaa04.gumroad.com,notion.bundle@aadityaa04.gumroad.com,notion.bundle@aadityaa04.gumroad.com,score=36; band=tier_d; delivery=unknown; source=https://aadityaa04.gumroad.com/l/SelfCareBundle,pattern_inferred
notionlytics.com,hello@notionlytics.com,hello@notionlytics.com,score=77; band=tier_c; delivery=valid; source=https://notionlytics.com/en,pattern_inferred
onemorethinginai.com,hello@onemorethinginai.com,hello@onemorethinginai.com,score=77; band=tier_c; delivery=valid; source=https://www.onemorethinginai.com/,pattern_inferred
oneaudio.ai,contact@omital.com,contact@omital.com,score=96; band=tier_a; delivery=valid; source=https://www.oneaudio.ai/privacy-policy,site_page
github.com,hello@github.com,hello@github.com,score=77; band=tier_c; delivery=valid; source=https://github.com/nraiden/openv0,pattern_inferred
pasteapp.io,hello@pasteapp.io,hello@pasteapp.io,score=100; band=tier_a; delivery=valid; source=https://pasteapp.io/media-kit,site_page
pdfhippo.com,hello@pdfhippo.com,hello@pdfhippo.com,score=77; band=tier_c; delivery=valid; source=https://www.pdfhippo.com/,pattern_inferred
copilot.bugbase.ai,hello@copilot.bugbase.ai,hello@copilot.bugbase.ai,score=46; band=tier_c; delivery=unknown; source=https://copilot.bugbase.ai/,pattern_inferred
apps.apple.com,hello@moze.app,hello@moze.app,score=100; band=tier_a; delivery=valid; source=https://apps.apple.com/us/app/percento-net-worth-tracker/id1494319934,site_page
permit.io,hello@permit.io,hello@permit.io,score=77; band=tier_c; delivery=valid; source=https://www.permit.io/producthunt,pattern_inferred
picyard.in,hello@picyard.in,hello@picyard.in,score=77; band=tier_c; delivery=valid; source=https://www.picyard.in/,pattern_inferred
pxl.to,hello@pxl.to,hello@pxl.to,score=77; band=tier_c; delivery=valid; source=https://www.pxl.to,pattern_inferred
playcss.app,hello@playcss.app,hello@playcss.app,score=77; band=tier_c; delivery=valid; source=https://www.playcss.app/,pattern_inferred
plerdy.com,hello@plerdy.com,hello@plerdy.com,score=100; band=tier_a; delivery=valid; source=https://www.plerdy.com/privacy-policy/,site_page
poised.com,hello@poised.com,hello@poised.com,score=77; band=tier_c; delivery=valid; source=https://www.poised.com/,pattern_inferred
pop.work,hello@pop.work,hello@pop.work,score=77; band=tier_c; delivery=valid; source=https://pop.work/lp/popwork-weekly-management-hacks,pattern_inferred
contra.com,hello@contra.com,hello@contra.com,score=100; band=tier_a; delivery=valid; source=https://contra.com/portfolios,site_page
pascio.gumroad.com,hello@pascio.gumroad.com,hello@pascio.gumroad.com,score=46; band=tier_c; delivery=unknown; source=https://pascio.gumroad.com/l/launchchecklist,pattern_inferred
logisparks.com,my.cms@logisparks.com,my.cms@logisparks.com,score=36; band=tier_d; delivery=unknown; source=https://logisparks.com/productive-compass,pattern_inferred
punta.app,contact@punta.app,contact@punta.app,score=100; band=tier_a; delivery=valid; source=https://punta.app/about-us,site_page
querio.ai,hello@querio.ai,hello@querio.ai,score=100; band=tier_a; delivery=valid; source=https://querio.ai/,site_page
raynaui.com,hello@raynaui.com,hello@raynaui.com,score=77; band=tier_c; delivery=valid; source=https://www.raynaui.com/,pattern_inferred
recruitgenius.ai,hello@recruitgenius.ai,hello@recruitgenius.ai,score=100; band=tier_a; delivery=valid; source=https://recruitgenius.ai/,site_page
retool.com,hello@retool.com,hello@retool.com,score=77; band=tier_c; delivery=valid; source=https://retool.com/ai,pattern_inferred
risecalendar.com,hi@rickpastoor.nl,hi@rickpastoor.nl,score=86; band=tier_b; delivery=valid; source=https://risecalendar.com/,site_page
rocketlane.com,hello@rocketlane.com,hello@rocketlane.com,score=77; band=tier_c; delivery=valid; source=https://rocketlane.com/,pattern_inferred
salesforge.ai,hello@salesforge.ai,hello@salesforge.ai,score=77; band=tier_c; delivery=valid; source=https://www.salesforge.ai/,pattern_inferred
scispot.com,team@scispot.io,team@scispot.io,score=92; band=tier_b; delivery=valid; source=https://www.scispot.com/legal/privacy-policy,site_page
shipfa.st,hello@shipfa.st,hello@shipfa.st,score=100; band=tier_a; delivery=valid; source=https://shipfa.st/,site_page
shortwave.com,sales@shortwave.com,sales@shortwave.com,score=100; band=tier_a; delivery=valid; source=https://www.shortwave.com/#r,site_page
snapy.ai,contact@snapy.ai,contact@snapy.ai,score=77; band=tier_c; delivery=valid; source=https://snapy.ai/,pattern_inferred
snipo.io,hello@snipo.io,hello@snipo.io,score=100; band=tier_a; delivery=valid; source=https://snipo.io/,site_page
solidroad.com,hello@solidroad.com,hello@solidroad.com,score=77; band=tier_c; delivery=valid; source=https://www.solidroad.com/,pattern_inferred
asomobile.net,team@asomobile.net,team@asomobile.net,score=100; band=tier_a; delivery=valid; source=https://asomobile.net/en/,site_page
starvingrobots.com,hello@starvingrobots.com,hello@starvingrobots.com,score=77; band=tier_c; delivery=valid; source=https://www.starvingrobots.com/,pattern_inferred
stems.app,contact@stems.app,contact@stems.app,score=100; band=tier_a; delivery=valid; source=https://stems.app/,site_page
stockinsights.ai,hello@stockinsights.ai,hello@stockinsights.ai,score=77; band=tier_c; delivery=valid; source=https://www.stockinsights.ai/,pattern_inferred
streamlinedpayments.com,hello@streamlinedpayments.com,hello@streamlinedpayments.com,score=77; band=tier_c; delivery=valid; source=https://www.streamlinedpayments.com/,pattern_inferred
matthewnotion.gumroad.com,hello@matthewnotion.gumroad.com,hello@matthewnotion.gumroad.com,score=46; band=tier_c; delivery=unknown; source=https://matthewnotion.gumroad.com/l/studentos,pattern_inferred
supademo.com,hello@supademo.com,hello@supademo.com,score=77; band=tier_c; delivery=valid; source=https://supademo.com/,pattern_inferred
usesuperflow.com,hello@usesuperflow.com,hello@usesuperflow.com,score=100; band=tier_a; delivery=valid; source=https://usesuperflow.com/terms,site_page
supernotes.app,hello@supernotes.app,hello@supernotes.app,score=77; band=tier_c; delivery=valid; source=https://supernotes.app/,pattern_inferred
suratfit.com,hello@suratfit.com,hello@suratfit.com,score=46; band=tier_c; delivery=unknown; source=https://suratfit.com/,pattern_inferred
getillustrations.com,hello@getillustrations.com,hello@getillustrations.com,score=100; band=tier_a; delivery=valid; source=https://getillustrations.com/privacy,site_page
swallow.app,hi@swallow.app,hi@swallow.app,score=100; band=tier_a; delivery=valid; source=https://www.swallow.app/faq,site_page
console.sweetspotgov.com,hello@console.sweetspotgov.com,hello@console.sweetspotgov.com,score=46; band=tier_c; delivery=unknown; source=https://console.sweetspotgov.com/,pattern_inferred
tabextend.com,hello@tabextend.com,hello@tabextend.com,score=77; band=tier_c; delivery=valid; source=https://www.tabextend.com/,pattern_inferred
takeascreen.com,hello@takeascreen.com,hello@takeascreen.com,score=77; band=tier_c; delivery=valid; source=https://takeascreen.com/,pattern_inferred
gemoo.com,hello@gemoo.com,hello@gemoo.com,score=77; band=tier_c; delivery=valid; source=https://gemoo.com/talkeze/,pattern_inferred
tally.so,hello@tally.so,hello@tally.so,score=100; band=tier_a; delivery=valid; source=https://tally.so/,site_page
taskjungle.vercel.app,hello@taskjungle.vercel.app,hello@taskjungle.vercel.app,score=46; band=tier_c; delivery=unknown; source=https://taskjungle.vercel.app/,pattern_inferred
tastejury.com,hello@tastejury.com,hello@tastejury.com,score=46; band=tier_c; delivery=unknown; source=https://tastejury.com/,pattern_inferred
tempo.ms,hello@tempo.ms,hello@tempo.ms,score=46; band=tier_c; delivery=unknown; source=https://tempo.ms/,pattern_inferred
texts.run,hello@texts.run,hello@texts.run,score=46; band=tier_c; delivery=unknown; source=https://www.texts.run/,pattern_inferred
slite.com,hello@slite.com,hello@slite.com,score=100; band=tier_a; delivery=valid; source=https://slite.com/privacy,site_page
modernpilot.biz,hello@modernpilot.biz,hello@modernpilot.biz,score=77; band=tier_c; delivery=valid; source=https://www.modernpilot.biz/subscribe,pattern_inferred
themultiverse.ai,hello@themultiverse.ai,hello@themultiverse.ai,score=77; band=tier_c; delivery=valid; source=https://www.themultiverse.ai/,pattern_inferred
personalbrandingplaybook.carrd.co,hello@personalbrandingplaybook.carrd.co,hello@personalbrandingplaybook.carrd.co,score=46; band=tier_c; delivery=unknown; source=https://personalbrandingplaybook.carrd.co/,pattern_inferred
popup-project.io,hello@popup-project.io,hello@popup-project.io,score=46; band=tier_c; delivery=unknown; source=https://popup-project.io/,pattern_inferred
thrivesparrow.com,contact@gdprlocal.com,contact@gdprlocal.com,score=92; band=tier_b; delivery=valid; source=https://www.thrivesparrow.com/legal/privacy-policy,site_page
tiiny.host,hello@tiiny.host,hello@tiiny.host,score=77; band=tier_c; delivery=valid; source=https://tiiny.host/,pattern_inferred
exploretock.com,hello@exploretock.com,hello@exploretock.com,score=77; band=tier_c; delivery=valid; source=https://exploretock.com/,pattern_inferred
toolske.com,hello@toolske.com,hello@toolske.com,score=46; band=tier_c; delivery=unknown; source=https://toolske.com/,pattern_inferred
trickle.so,hello@trickle.so,hello@trickle.so,score=77; band=tier_c; delivery=valid; source=https://trickle.so/,pattern_inferred
trieditapp.com,contact@trieditapp.com,contact@trieditapp.com,score=100; band=tier_a; delivery=valid; source=https://www.trieditapp.com/,site_page
trustloop.co,hello@trustloop.co,hello@trustloop.co,score=77; band=tier_c; delivery=valid; source=https://trustloop.co/,pattern_inferred
jordilabs.gumroad.com,ultimate.blueprint@jordilabs.gumroad.com,ultimate.blueprint@jordilabs.gumroad.com,score=36; band=tier_d; delivery=unknown; source=https://jordilabs.gumroad.com/l/utimate-etsy-guide,pattern_inferred
djokavex.gumroad.com,ultimate.tracker@djokavex.gumroad.com,ultimate.tracker@djokavex.gumroad.com,score=36; band=tier_d; delivery=unknown; source=https://djokavex.gumroad.com/l/UltimateFinanceTracker/46vymig,pattern_inferred
heyramzi.com,upsys.consulting@heyramzi.com,upsys.consulting@heyramzi.com,score=67; band=tier_c; delivery=valid; source=https://heyramzi.com/templates/clickup/gtd,pattern_inferred
unispotted.app,hello@unispotted.app,hello@unispotted.app,score=46; band=tier_c; delivery=unknown; source=https://www.unispotted.app/en,pattern_inferred
bzgapps.com,hello@bzgapps.com,hello@bzgapps.com,score=77; band=tier_c; delivery=valid; source=https://www.bzgapps.com/unite,pattern_inferred
val.town,hi@val.town,hi@val.town,score=100; band=tier_a; delivery=valid; source=https://www.val.town/,site_page
lovexplorego.gumroad.com,viral.time@lovexplorego.gumroad.com,viral.time@lovexplorego.gumroad.com,score=36; band=tier_d; delivery=unknown; source=https://lovexplorego.gumroad.com/l/viral-captions,pattern_inferred
virtualsapiens.co,sales@virtualsapiens.co,sales@virtualsapiens.co,score=100; band=tier_a; delivery=valid; source=https://www.virtualsapiens.co/,site_page
vidtoon.com,hello@vidtoon.com,hello@vidtoon.com,score=77; band=tier_c; delivery=valid; source=https://vidtoon.com/voicely/,pattern_inferred
play.google.com,contact@dreamgames.com,contact@dreamgames.com,score=92; band=tier_b; delivery=valid; source=https://play.google.com/store,site_page
worldofai.beehiiv.com,rishit.patel@orldofai.beehiiv.com,rishit.patel@orldofai.beehiiv.com,score=11; band=tier_d; delivery=unknown; source=https://worldofai.beehiiv.com/,pattern_inferred
writerzen.net,hello@riterzen.net,hello@riterzen.net,score=21; band=tier_d; delivery=unknown; source=https://writerzen.net/,pattern_inferred
wyloapp.com,hello@yloapp.com,hello@yloapp.com,score=21; band=tier_d; delivery=unknown; source=https://www.wyloapp.com/,pattern_inferred
x2image.app,contact@mountainlabs.one,contact@mountainlabs.one,score=92; band=tier_b; delivery=valid; source=https://www.x2image.app/privacy,site_page
yarnit.app,hello@yarnit.app,hello@yarnit.app,score=100; band=tier_a; delivery=valid; source=https://www.yarnit.app/,site_page
gitstart.com,hello@gitstart.com,hello@gitstart.com,score=77; band=tier_c; delivery=valid; source=https://gitstart.com/,pattern_inferred
abboocandleco.com,hello@abboocandleco.com,hello@abboocandleco.com,score=77; band=tier_c; delivery=valid; source=https://abboocandleco.com/,pattern_inferred
aegte.in,hello@aegte.in,hello@aegte.in,score=77; band=tier_c; delivery=valid; source=https://www.aegte.in/,pattern_inferred
angiehomes.co,hello@angiehomes.co,hello@angiehomes.co,score=77; band=tier_c; delivery=valid; source=https://angiehomes.co/,pattern_inferred
anveshan.farm,hello@anveshan.farm,hello@anveshan.farm,score=77; band=tier_c; delivery=valid; source=https://www.anveshan.farm/,pattern_inferred
astore.in,hello@astore.in,hello@astore.in,score=77; band=tier_c; delivery=valid; source=https://www.astore.in/,pattern_inferred
believebrandco.com,hello@believebrandco.com,hello@believebrandco.com,score=77; band=tier_c; delivery=valid; source=https://believebrandco.com/,pattern_inferred
bellavitaorganic.com,hello@bellavitaorganic.com,hello@bellavitaorganic.com,score=77; band=tier_c; delivery=valid; source=https://bellavitaorganic.com/,pattern_inferred
beminimalist.co,hello@beminimalist.co,hello@beminimalist.co,score=77; band=tier_c; delivery=valid; source=https://beminimalist.co/,pattern_inferred
bigsmall.in,hello@bigsmall.in,hello@bigsmall.in,score=77; band=tier_c; delivery=valid; source=https://www.bigsmall.in/,pattern_inferred
boat-lifestyle.com,hello@boat-lifestyle.com,hello@boat-lifestyle.com,score=77; band=tier_c; delivery=valid; source=https://www.boat-lifestyle.com/,pattern_inferred
bookkish.com,hello@bookkish.com,hello@bookkish.com,score=77; band=tier_c; delivery=valid; source=https://bookkish.com/,pattern_inferred
bookstech.in,categories.romance@bookstech.in,categories.romance@bookstech.in,score=67; band=tier_c; delivery=valid; source=https://bookstech.in/,pattern_inferred
bummer.in,hello@bummer.in,hello@bummer.in,score=100; band=tier_a; delivery=valid; source=https://bummer.in/pages/bundle-builder,site_page
bunastudio.com,dear.misca@bunastudio.com,dear.misca@bunastudio.com,score=67; band=tier_c; delivery=valid; source=https://www.bunastudio.com/,pattern_inferred
byjus.com,hello@byjus.com,hello@byjus.com,score=77; band=tier_c; delivery=valid; source=https://byjus.com/,pattern_inferred
cakelinks.in,hello@cakelinks.in,hello@cakelinks.in,score=77; band=tier_c; delivery=valid; source=https://cakelinks.in/,pattern_inferred
campusshoes.com,hello@campusshoes.com,hello@campusshoes.com,score=77; band=tier_c; delivery=valid; source=https://www.campusshoes.com/,pattern_inferred
capesindia.com,hello@capesindia.com,hello@capesindia.com,score=100; band=tier_a; delivery=valid; source=https://www.capesindia.com/products/rear-lens-cap-skins,site_page
cashify.in,ceo@cashify.in,ceo@cashify.in,score=100; band=tier_a; delivery=valid; source=https://www.cashify.in/contact,site_page
consciousfood.com,hello@consciousfood.com,hello@consciousfood.com,score=77; band=tier_c; delivery=valid; source=https://www.consciousfood.com/,pattern_inferred
coveritup.com,hello@coveritup.com,hello@coveritup.com,score=77; band=tier_c; delivery=valid; source=https://coveritup.com/,pattern_inferred
crossbeats.com,hello@crossbeats.com,hello@crossbeats.com,score=77; band=tier_c; delivery=valid; source=https://crossbeats.com/,pattern_inferred
curato.in,hello@curato.in,hello@curato.in,score=77; band=tier_c; delivery=valid; source=https://curato.in/,pattern_inferred
dermalogica.in,hello@dermalogica.in,hello@dermalogica.in,score=77; band=tier_c; delivery=valid; source=https://dermalogica.in/,pattern_inferred
detec.in,sales@detec.in,sales@detec.in,score=100; band=tier_a; delivery=valid; source=https://detec.in/pages/faqs,site_page
digibox.co.in,hello@digibox.co.in,hello@digibox.co.in,score=77; band=tier_c; delivery=valid; source=https://digibox.co.in/,pattern_inferred
elanstore.in,hello@elanstore.in,hello@elanstore.in,score=77; band=tier_c; delivery=valid; source=https://elanstore.in/,pattern_inferred
elegantautoretail.com,hello@elegantautoretail.com,hello@elegantautoretail.com,score=77; band=tier_c; delivery=valid; source=https://elegantautoretail.com/,pattern_inferred
esahtea.com,hello@esahtea.com,hello@esahtea.com,score=77; band=tier_c; delivery=valid; source=https://esahtea.com/,pattern_inferred
exclusivelane.com,hello@exclusivelane.com,hello@exclusivelane.com,score=77; band=tier_c; delivery=valid; source=https://exclusivelane.com/,pattern_inferred
fabbox.in,hello@fabbox.in,hello@fabbox.in,score=77; band=tier_c; delivery=valid; source=https://www.fabbox.in/,pattern_inferred
fabriclore.com,hello@fabriclore.com,hello@fabriclore.com,score=100; band=tier_a; delivery=valid; source=https://fabriclore.com/,site_page
