domain,email,source_url,source_type,source_kind,found_in,crawl_depth,confidence_score,confidence_label,reason_flags,sighting_count,verification_status,deliverability_confidence,resolved_company_domain,identity_confidence,delivery_state,confidence_band,finding_type
deploy-home.scoutflo.com,,,,,,,0,reject,no_emails_found,0,unknown,0,deploy-home.scoutflo.com,0,unknown,tier_d,
second.dev,,,,,,,0,reject,no_emails_found,0,unknown,0,second.dev,0,unknown,tier_d,
sendit.arcana.network,,,,,,,0,reject,no_emails_found,0,unknown,0,sendit.arcana.network,0,unknown,tier_d,
conversion.ai,hiring@conversion.ai,https://conversion.ai/company,httpx,site_page,mailto,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_a,1,verified,90,conversion.ai,90,valid,tier_a,observed
conversion.ai,privacy@conversion.ai,https://conversion.ai/privacy,httpx,site_page,mailto,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_2|verified|band:tier_a,2,verified,90,conversion.ai,90,valid,tier_a,observed
shadergradient.co,,,,,,,0,reject,no_emails_found,0,unknown,0,shadergradient.co,0,unknown,tier_d,
shipfast.ai,,,,,,,0,reject,no_emails_found,0,unknown,0,shipfast.ai,0,unknown,tier_d,
thesamur.ai,support@thesamur.ai,https://www.thesamur.ai/contact-us,httpx,site_page,html,1,100,high,site_source|contact_page|useful_mailbox|domain_match_exact|sightings_3|verified|band:tier_a,3,verified,90,thesamur.ai,90,valid,tier_a,observed
thesamur.ai,hello@thesamur.ai,https://www.thesamur.ai/add-chatgpt-to-shopify,inferred,pattern_inferred,role_probe,0,77,high,inferred_candidate|useful_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,thesamur.ai,90,valid,tier_c,inferred
marketplace.sleuth.io,,,,,,,0,reject,no_emails_found,0,unknown,0,marketplace.sleuth.io,0,unknown,tier_d,
solcial.io,,,,,,,0,reject,no_emails_found,0,unknown,0,solcial.io,0,unknown,tier_d,
sonarlist.io,,,,,,,0,reject,no_emails_found,0,unknown,0,sonarlist.io,0,unknown,tier_d,
steddy.health,,,,,,,0,reject,no_emails_found,0,unknown,0,steddy.health,0,unknown,tier_d,
bilendi-ux.com,contact@bilendi-ux.com,https://www.bilendi-ux.com/,httpx,site_page,jsonld,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_22|verified|band:tier_a,22,verified,90,bilendi-ux.com,90,valid,tier_a,observed
bilendi-ux.com,support@tandemz.io,https://www.bilendi-ux.com/resources,httpx,site_page,html,1,96,high,site_source|useful_mailbox|domain_mismatch|sightings_2|verified|band:tier_a,2,verified,90,bilendi-ux.com,40,valid,tier_a,observed
atom.com,,,,,,,0,reject,no_emails_found,0,unknown,0,atom.com,0,unknown,tier_d,
eyeballer.dev,,,,,,,0,reject,no_emails_found,0,unknown,0,eyeballer.dev,0,unknown,tier_d,
bigvu.tv,support@bigvu.tv,https://bigvu.tv/,httpx,site_page,mailto,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_22|verified|band:tier_a,22,verified,90,bigvu.tv,90,valid,tier_a,observed
bigvu.tv,hello@bigvu.tv,https://bigvu.tv/,inferred,pattern_inferred,role_probe,0,77,high,inferred_candidate|useful_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,bigvu.tv,90,valid,tier_c,inferred
wedding-os.framer.ai,,,,,,,0,reject,no_emails_found,0,unknown,0,wedding-os.framer.ai,0,unknown,tier_d,
understand-better.com,,,,,,,0,reject,no_emails_found,0,unknown,0,understand-better.com,0,unknown,tier_d,
v0.app,studioneuwaes@gmail.com,https://v0.app/,httpx,site_page,html,0,86,high,site_source|untyped_mailbox|domain_mismatch|sightings_2|verified|band:tier_b,2,verified,90,v0.app,40,valid,tier_b,observed
v0.app,privacy@vercel.com,https://v0.app/faq,httpx,site_page,mailto,1,82,high,site_source|untyped_mailbox|domain_mismatch|sightings_1|verified|band:tier_b,1,verified,90,v0.app,40,valid,tier_b,observed
valo.club,,,,,,,0,reject,no_emails_found,0,unknown,0,valo.club,0,unknown,tier_d,
yc.v.inc,,,,,,,0,reject,no_emails_found,0,unknown,0,yc.v.inc,0,unknown,tier_d,
labs.heygen.com,,,,,,,0,reject,no_emails_found,0,unknown,0,labs.heygen.com,0,unknown,tier_d,
vite.dev,,,,,,,0,reject,no_emails_found,0,unknown,0,vite.dev,0,unknown,tier_d,
w3.do,,,,,,,0,reject,no_emails_found,0,unknown,0,w3.do,0,unknown,tier_d,
wanderlous.com,,,,,,,0,reject,no_emails_found,0,unknown,0,wanderlous.com,0,unknown,tier_d,
game.caena.io,,,,,,,0,reject,no_emails_found,0,unknown,0,game.caena.io,0,unknown,tier_d,
atom.com,,,,,,,0,reject,no_emails_found,0,unknown,0,atom.com,0,unknown,tier_d,
xtractly.io,,,,,,,0,reject,no_emails_found,0,unknown,0,xtractly.io,0,unknown,tier_d,
xuperauth.com,,,,,,,0,reject,no_emails_found,0,unknown,0,xuperauth.com,0,unknown,tier_d,
youtab.ai,,,,,,,0,reject,no_emails_found,0,unknown,0,youtab.ai,0,unknown,tier_d,
news.zoom.us,,,,,,,0,reject,no_emails_found,0,unknown,0,news.zoom.us,0,unknown,tier_d,
99booksstore.com,,,,,,,0,reject,no_emails_found,0,unknown,0,99booksstore.com,0,unknown,tier_d,
amala.earth,,,,,,,0,reject,no_emails_found,0,unknown,0,amala.earth,0,unknown,tier_d,
andme.in,,,,,,,0,reject,no_emails_found,0,unknown,0,andme.in,0,unknown,tier_d,
nilkamalhomes.com,connect@nilkamalhomes.com,https://www.nilkamalhomes.com/,httpx,site_page,mailto,0,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_25|verified|band:tier_a,25,verified,90,nilkamalhomes.com,90,valid,tier_a,observed
nilkamalhomes.com,storemgr.hadapsar@nilkamal.com,https://www.nilkamalhomes.com/pages/corporate-gifting,httpx,site_page,mailto,1,82,high,site_source|untyped_mailbox|domain_mismatch|sightings_1|verified|band:tier_b,1,verified,90,nilkamalhomes.com,40,valid,tier_b,observed
avermedia.com,,,,,,,0,reject,no_emails_found,0,unknown,0,avermedia.com,0,unknown,tier_d,
backend.build.cashify.in,,,,,,,0,reject,no_emails_found,0,unknown,0,backend.build.cashify.in,0,unknown,tier_d,
bajaao.com,,,,,,,0,reject,no_emails_found,0,unknown,0,bajaao.com,0,unknown,tier_d,
bighaat.com,,,,,,,0,reject,no_emails_found,0,unknown,0,bighaat.com,0,unknown,tier_d,
boheco.in,,,,,,,0,reject,no_emails_found,0,unknown,0,boheco.in,0,unknown,tier_d,
boheco.com,all.products@boheco.com,https://boheco.com/,inferred,pattern_inferred,pattern_first_dot_last,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,boheco.com,90,valid,tier_c,inferred
boheco.com,allproducts@boheco.com,https://boheco.com/,inferred,pattern_inferred,pattern_concat,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,boheco.com,90,valid,tier_c,inferred
bombayshavingcompany.com,,,,,,,0,reject,no_emails_found,0,unknown,0,bombayshavingcompany.com,0,unknown,tier_d,
goboult.co.in,support@boultaudio.com,https://goboult.co.in/,httpx,site_page,html,0,100,high,site_source|useful_mailbox|domain_mismatch|sightings_25|verified|band:tier_a,25,verified,90,goboult.co.in,40,valid,tier_a,observed
goboult.co.in,info@goboult.co.in,https://goboult.co.in/,httpx,site_page,html,0,100,high,site_source|generic_mailbox|domain_match_exact|sightings_25|verified|band:tier_a,25,verified,90,goboult.co.in,90,valid,tier_a,observed
bunai.com,orders@bunai.com,https://www.bunai.com/products/parrot-green-pompom-dress,httpx,site_page,mailto,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_3|verified|band:tier_a,3,verified,90,bunai.com,90,valid,tier_a,observed
bunai.com,orders@bunaai.com,https://www.bunai.com/,httpx,site_page,jsonld,0,98,high,site_source|untyped_mailbox|domain_mismatch|sightings_25|verified|band:tier_a,25,verified,90,bunai.com,40,valid,tier_a,observed
buywow.in,,,,,,,0,reject,no_emails_found,0,unknown,0,buywow.in,0,unknown,tier_d,
casestudio.in,,,,,,,0,reject,no_emails_found,0,unknown,0,casestudio.in,0,unknown,tier_d,
