domain,email,source_url,source_type,found_in,crawl_depth,confidence_score,confidence_label,reason_flags,sighting_count
tilt.com,help@tilt.com,https://tilt.com/,httpx,mailto,0,100,high,domain_exact_match|mailto_link|seen_9_pages,9
tilt.com,privacy@tilt.com,https://tilt.com/privacy,httpx,mailto,1,90,high,domain_exact_match|mailto_link|legal_or_compliance_mailbox,1
brace.io,,,,,,0,reject,no_emails_found,0
swiftype.com,support@swiftype.com,https://swiftype.com/privacy-and-gdpr-faq,httpx,mailto,1,100,high,domain_exact_match|mailto_link|seen_4_pages|high_value_prefix,4
swiftype.com,sales@swiftype.com,https://swiftype.com/privacy-and-gdpr-faq,httpx,mailto,1,98,high,domain_exact_match|mailto_link|high_value_prefix,1
swiftype.com,press@swiftype.com,https://swiftype.com/press,httpx,mailto,1,90,high,domain_exact_match|mailto_link,1
swiftype.com,security@swiftype.com,https://swiftype.com/security,httpx,html,1,80,high,domain_exact_match|legal_or_compliance_mailbox,1
swiftype.com,privacy@elastic.co,https://swiftype.com/privacy-and-gdpr-faq,httpx,mailto,1,25,reject,domain_mismatch|mailto_link|legal_or_compliance_mailbox,1
lvl6.com,,,,,,0,reject,no_emails_found,0
kytephone.com,info@kytephone.com,https://kytephone.com/privacy/,httpx,cf_obfuscated,1,90,high,domain_exact_match|cf_obfuscated_decoded|seen_2_pages,2
farmlogs.com,contact@bushelpowered.com,https://farmlogs.com/about,httpx,cf_obfuscated,1,50,low,domain_mismatch|about_or_team_page|cf_obfuscated_decoded|seen_25_pages|high_value_prefix,25
99dresses.com,,,,,,0,reject,no_emails_found,0
authy.com,contact@twilio.com,https://authy.com/,httpx,jsonld,0,36,reject,domain_mismatch|jsonld_structured_data|seen_2_pages|high_value_prefix,2
flutterapp.com,,,,,,0,reject,no_emails_found,0
fond.co,,,,,,0,reject,no_emails_found,0
pervices.com,solutions@pervices.com,https://www.pervices.com/contact/,httpx,mailto,1,100,high,domain_exact_match|contact_page|mailto_link|seen_25_pages,25
pervices.com,careers@pervices.com,https://www.pervices.com/careers/,httpx,mailto,1,90,high,domain_exact_match|mailto_link,1
loom.com,,,,,,0,reject,no_emails_found,0
documents.me,,,,,,0,reject,no_emails_found,0
ark.com,,,,,,0,reject,no_emails_found,0
solidstage.com,,,,,,0,reject,no_emails_found,0
yourmechanic.com,hi@yourmechanic.com,https://yourmechanic.com/,httpx,mailto,0,100,high,domain_exact_match|mailto_link|seen_17_pages|high_value_prefix,17
yourmechanic.com,partners@yourmechanic.com,https://yourmechanic.com/about,httpx,mailto,1,100,high,domain_exact_match|about_or_team_page|mailto_link|high_value_prefix,1
yourmechanic.com,media@yourmechanic.com,https://yourmechanic.com/about,httpx,mailto,1,100,high,domain_exact_match|about_or_team_page|mailto_link,1
yourmechanic.com,fleet@yourmechanic.com,https://yourmechanic.com/fleet/fleetservices,httpx,mailto,1,95,high,domain_exact_match|mailto_link|seen_2_pages,2
yourmechanic.com,hello@wrench.com,https://yourmechanic.com/privacy-policy,httpx,mailto,1,38,reject,domain_mismatch|mailto_link|seen_2_pages|high_value_prefix,2
yourmechanic.com,privacy@wrench.com,https://yourmechanic.com/privacy-policy,httpx,mailto,1,25,reject,domain_mismatch|mailto_link|legal_or_compliance_mailbox,1
priceonomics.com,,,,,,0,reject,no_emails_found,0
sendwave.com,,,,,,0,reject,no_emails_found,0
glider.io,,,,,,0,reject,no_emails_found,0
medmonk.com,info@medmonk.com,https://medmonk.com/ContactUs,httpx,mailto,1,100,high,domain_exact_match|mailto_link|seen_10_pages,10
carsabi.com,,,,,,0,reject,no_emails_found,0
ycombinator.com,apply@ycombinator.com,https://ycombinator.com/apply,httpx,mailto,1,95,high,domain_exact_match|mailto_link|seen_2_pages,2
ycombinator.com,yclegal@ycombinator.com,https://ycombinator.com/legal,httpx,mailto,1,90,high,domain_exact_match|mailto_link,1
ycombinator.com,privacy@ycombinator.com,https://ycombinator.com/legal,httpx,html,1,80,high,domain_exact_match|legal_or_compliance_mailbox,1
ycombinator.com,workatastartup@ycombinator.com,https://ycombinator.com/legal,httpx,html,1,80,high,domain_exact_match,1
ycombinator.com,accounts@ycombinator.com,https://ycombinator.com/legal,httpx,html,1,80,high,domain_exact_match,1
ycombinator.com,hn@ycombinator.com,https://ycombinator.com/legal,httpx,html,1,80,high,domain_exact_match,1
socialcam.com,,,,,,0,reject,no_emails_found,0
givespark.com,,,,,,0,reject,no_emails_found,0
shopular.com,appledotcom-logo-inverse-1color-4289@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,amazon-logo-inverse-1color-1@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,temu-logo-inverse-1color-21176@4x-copy.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,macys-logo-inverse-1color-8333@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,target-logo-inverse-1color-5246@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,ultabeauty-logo-inverse-1color-4207@4x-101024.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,bestbuy-logo-inverse-1color-4767@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,ebay-logo-inverse-1color-3993@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,sephora-logo-inverse-1color-4548@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,chewy-logo-inverse-1color-16788@4x-2.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,oldnavy-logo-inverse-1color-3726@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,sofibanking-logo-inverse-1color-21991-022725@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,kohls-logo-inverse-1color-7206@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,groupon-logo-inverse-1color-10634@4x-2.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,lowes-logo-inverse-1color-10722@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,dickssportinggoods-logo-inverse-1color-4227@4x-061223.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,petsmart-logo-inverse-1color-896@4x0921826.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,walgreens-logo-inverse-1color-10141@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,samsclub-logo-inverse-1color-10086@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,cvsdotcom-logo-inverse-1color-1316@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,bloomingdales-logo-inverse-1color-9376@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,ticketmaster-logo-inverse-1color-12662@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,samsung-logo-inverse-1color-12109@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,lego-logo-inverse-1color-9265@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,instacart-logo-inverse-1color-19833@4x-2.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,staples-logo-inverse-1color-4986@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,victoriassecret-logo-inverse-1color-9800@4x--72023-temp.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,ikea-logo-inverse-1color-13482-111425@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,gap-logo-inverse-1color-3864@4x-3.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,turbotax-logo-inverse-1color-9477@4x-temp.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,ugg-logo-inverse-1color-8850@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,americaneagleoufitters-logo-inverse-1color-8303@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,shutterfly-logo-inverse-1color-3997@4x-032026.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,underarmour-logo-inverse-1color-9728@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,nordvpn-logo-inverse-1color-15557@4x-070925.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,lululemon-logo-inverse-1color-13779@4x-090624.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,expedia-logo-inverse-1color-3930@4x-050123.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,bookingdotcom-logo-inverse-1color-11603@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,adidas-logo-inverse-1color-5487-081324@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
shopular.com,priceline-logo-inverse-1color-1576@4x.png,https://shopular.com/,httpx,html,0,25,reject,domain_mismatch|seen_25_pages,25
picplum.com,,,,,,0,reject,no_emails_found,0
freshplum.com,,,,,,0,reject,no_emails_found,0
clutch.io,support@clutch.io,https://clutch.io/pricing,httpx,mailto,1,98,high,domain_exact_match|mailto_link|high_value_prefix,1
clutch.io,you@company.com,https://clutch.io/partners,httpx,html,1,25,reject,domain_mismatch|seen_4_pages,4
clutch.io,info@saivory.com,https://clutch.io/partners/saivory,httpx,mailto,1,25,reject,domain_mismatch|mailto_link,1
clutch.io,info@propmatic.co,https://clutch.io/partners/propmatic,httpx,mailto,1,25,reject,domain_mismatch|mailto_link,1
clutch.io,infoeanderson@clickherelabs.com,https://clutch.io/partners/click-here-labs,httpx,mailto,1,25,reject,domain_mismatch|mailto_link,1
clutch.io,info@featurebase.app,https://docs.clutch.io/,httpx,html,1,15,reject,domain_mismatch,1
apollographql.com,legal@apollographql.com,https://www.apollographql.com/privacy-policy,httpx,mailto,1,90,high,domain_exact_match|mailto_link|legal_or_compliance_mailbox,1
apollographql.com,support@apollographql.com,https://www.apollographql.com/privacy-policy,httpx,html,1,88,high,domain_exact_match|high_value_prefix,1
hackerrank.com,support@hackerrank.com,https://hackerrank.com/about-us/terms-of-service,httpx,mailto,1,100,high,domain_exact_match|mailto_link|seen_2_pages|high_value_prefix,2
stypi.com,,,,,,0,reject,no_emails_found,0
genius.com,,,,,,0,reject,no_emails_found,0
onesignal.com,security@onesignal.com,https://onesignal.com/privacy,httpx,mailto,1,90,high,domain_exact_match|mailto_link|legal_or_compliance_mailbox,1
breaks.nu,,,,,,0,reject,no_emails_found,0
paperlinks.com,,,,,,0,reject,no_emails_found,0
aisle50.com,,,,,,0,reject,no_emails_found,0
debteye.com,support@lendedu.com,https://debteye.com/,httpx,jsonld,0,31,reject,domain_mismatch|jsonld_structured_data|high_value_prefix,1
proxino.com,,,,,,0,reject,no_emails_found,0
streak.com,privacy@streak.com,https://streak.com/privacy,httpx,mailto,1,90,high,domain_exact_match|mailto_link|legal_or_compliance_mailbox,1
streak.com,name@yourcompany.com,https://streak.com/sales-crm,httpx,html,1,15,reject,domain_mismatch,1
streak.com,name@gmail.com,https://streak.com/sales-crm,httpx,html,1,15,reject,domain_mismatch,1
streak.com,eduard@cravecafe.com,https://streak.com/sales-crm,httpx,html,1,15,reject,domain_mismatch,1
streak.com,lana@purepour.com,https://streak.com/sales-crm,httpx,html,1,15,reject,domain_mismatch,1
streak.com,drew@secondcup.com,https://streak.com/sales-crm,httpx,html,1,15,reject,domain_mismatch,1
streak.com,lori@thehive.com,https://streak.com/sales-crm,httpx,html,1,15,reject,domain_mismatch,1
streak.com,koray@embercafe.com,https://streak.com/sales-crm,httpx,html,1,15,reject,domain_mismatch,1
streak.com,brianna@sipsociety.com,https://streak.com/sales-crm,httpx,html,1,15,reject,domain_mismatch,1
streak.com,noah@brewhaven.com,https://streak.com/sales-crm,httpx,html,1,15,reject,domain_mismatch,1
scienceexchange.com,info@scienceexchange.com,https://www.scienceexchange.com/about,httpx,html,1,100,high,domain_exact_match|about_or_team_page|seen_24_pages,24
scienceexchange.com,privacy@scienceexchange.com,https://www.scienceexchange.com/privacy-policy,httpx,html,1,80,high,domain_exact_match|legal_or_compliance_mailbox,1
pingm.net,,,,,,0,reject,no_emails_found,0
quartzy.com,support@quartzy.com,https://quartzy.com/,httpx,mailto,0,100,high,domain_exact_match|mailto_link|seen_23_pages|high_value_prefix,23
quartzy.com,events@quartzy.com,https://labapalooza.quartzy.com/en/registration-form?utm_source=QuartzyHP,httpx,mailto,1,90,high,domain_exact_match|mailto_link,1
quartzy.com,info@quartzy.com,https://www.quartzy.com/privacy-policy,httpx,html,1,85,high,domain_exact_match|seen_2_pages,2
quartzy.com,orders@quartzy.com,https://www.quartzy.com/terms-of-service,httpx,html,1,80,high,domain_exact_match,1
quartzy.com,daywithdisa@disa.com,https://labapalooza.quartzy.com/en/registration-form?utm_source=QuartzyHP,httpx,mailto,1,25,reject,domain_mismatch|mailto_link,1
quartzy.com,emailid@vfairs.com,https://labapalooza.quartzy.com/en/registration-form?utm_source=QuartzyHP,httpx,html,1,15,reject,domain_mismatch,1
codecademy.com,press@codecademy.com,https://codecademy.com/about,httpx,cf_obfuscated,1,97,high,domain_exact_match|about_or_team_page|cf_obfuscated_decoded,1
cryptoseal.com,,,,,,0,reject,no_emails_found,0
segment.com,,,,,,0,reject,no_emails_found,0
citusdata.com,,,,,,0,reject,no_emails_found,0
agilemd.com,support@agilemd.com,https://agilemd.com/about/terms-of-service,httpx,html,1,100,high,domain_exact_match|about_or_team_page|seen_2_pages|high_value_prefix,2
agilemd.com,hello@agilemd.com,https://agilemd.com/about/privacy-policy,httpx,html,1,100,high,domain_exact_match|about_or_team_page|high_value_prefix,1
agilemd.com,legal@agilemd.com,https://agilemd.com/about/copyright-and-intellectual-property-policy,httpx,html,1,92,high,domain_exact_match|about_or_team_page|legal_or_compliance_mailbox,1
agilemd.com,security@agilemd.com,https://www.agilemd.com/security,httpx,mailto,1,90,high,domain_exact_match|mailto_link|legal_or_compliance_mailbox,1
agilemd.com,privacy@hubspot.com,https://agilemd.com/about/privacy-policy,httpx,html,1,27,reject,domain_mismatch|about_or_team_page|legal_or_compliance_mailbox,1
clerky.com,support@clerky.com,https://clerky.com/,httpx,mailto,0,100,high,domain_exact_match|mailto_link|seen_14_pages|high_value_prefix,14
clerky.com,legal@clerky.com,https://clerky.com/privacy,httpx,mailto,1,90,high,domain_exact_match|mailto_link|legal_or_compliance_mailbox,1
thequad.com,,,,,,0,reject,no_emails_found,0
dubjoy.com,,,,,,0,reject,no_emails_found,0
zenboxapp.com,,,,,,0,reject,no_emails_found,0
realm.io,,,,,,0,reject,no_emails_found,0
firebase.com,,,,,,0,reject,no_emails_found,0
gocardless.com,help@gocardless.com,https://gocardless.com/en-us/pricing/,httpx,html,1,80,high,domain_exact_match,1
pagelever.com,,,,,,0,reject,no_emails_found,0
marketbrief.com,,,,,,0,reject,no_emails_found,0
fobo.net,,,,,,0,reject,no_emails_found,0
sift.com,,,,,,0,reject,no_emails_found,0
verbling.com,support@verbling.com,https://verbling.com/privacy,httpx,cf_obfuscated,1,93,high,domain_exact_match|cf_obfuscated_decoded|high_value_prefix,1
verbling.com,demostudent@verbling.com,https://verbling.com/,httpx,html,0,90,high,domain_exact_match|seen_24_pages,24
verbling.com,demoteacher@verbling.com,https://verbling.com/,httpx,html,0,90,high,domain_exact_match|seen_24_pages,24
verbling.com,copyright@verbling.com,https://verbling.com/terms,httpx,cf_obfuscated,1,85,high,domain_exact_match|cf_obfuscated_decoded|legal_or_compliance_mailbox,1
letsembark.com,,,,,,0,reject,no_emails_found,0
leadgenius.com,support@leadgenius.com,https://leadgenius.com/legal/terms,httpx,jsonld,1,96,high,domain_exact_match|jsonld_structured_data|high_value_prefix,1
leadgenius.com,privacy@leadgenius.com,https://leadgenius.com/legal/privacy,httpx,jsonld,1,93,high,domain_exact_match|jsonld_structured_data|seen_2_pages|legal_or_compliance_mailbox,2
leadgenius.com,optout@leadgenius.com,https://leadgenius.com/legal/privacy,httpx,mailto,1,90,high,domain_exact_match|mailto_link,1
trycaviar.com,,,,,,0,reject,no_emails_found,0
interstateapp.com,,,,,,0,reject,no_emails_found,0
everyme.com,,,,,,0,reject,no_emails_found,0
opez.com,,,,,,0,reject,no_emails_found,0
mixrank.com,accounts@mixrank.com,https://mixrank.com/pricing?tab=mobile-apps-and-sdks,httpx,mailto,1,100,high,domain_exact_match|mailto_link|seen_5_pages,5
mixrank.com,support@mixrank.com,https://mixrank.com/terms/,httpx,html,1,93,high,domain_exact_match|seen_2_pages|high_value_prefix,2
mixrank.com,invalid@mixrank.com,https://mixrank.com/api/documentation,httpx,html,1,80,high,domain_exact_match,1
kicksend.com,support@printicular.com,https://kicksend.com/us/photo-printing-help/,httpx,mailto,1,33,reject,domain_mismatch|mailto_link|high_value_prefix,1
kicksend.com,support@autopilotprint.com,https://kicksend.com/us/photo-printing-help/,httpx,mailto,1,33,reject,domain_mismatch|mailto_link|high_value_prefix,1
videopixie.com,human@videopixie.com,https://videopixie.com/pricing,httpx,mailto,1,100,high,domain_exact_match|mailto_link|seen_8_pages,8
videopixie.com,sales@dominoproduction.am,https://videopixie.com/video-animators,httpx,html,1,23,reject,domain_mismatch|high_value_prefix,1
videopixie.com,contact@wearearis.com,https://videopixie.com/video-editors,httpx,html,1,23,reject,domain_mismatch|high_value_prefix,1
askolo.com,,,,,,0,reject,no_emails_found,0
launchpadtoys.com,,,,,,0,reject,no_emails_found,0
imgix.com,support@imgix.com,https://imgix.com/contact,httpx,mailto,1,100,high,domain_exact_match|contact_page|mailto_link|seen_5_pages|high_value_prefix,5
imgix.com,partnerships@imgix.com,https://imgix.com/contact,httpx,mailto,1,100,high,domain_exact_match|contact_page|mailto_link|seen_7_pages|high_value_prefix,7
imgix.com,press@imgix.com,https://imgix.com/contact,httpx,mailto,1,100,high,domain_exact_match|contact_page|mailto_link,1
imgix.com,privacy@imgix.com,https://imgix.com/privacy,httpx,mailto,1,90,high,domain_exact_match|mailto_link|legal_or_compliance_mailbox,1
mongohq.com,,,,,,0,reject,no_emails_found,0
ansibletechnologies.com,,,,,,0,reject,no_emails_found,0
vidyard.com,,,,,,0,reject,no_emails_found,0
leaky.com,,,,,,0,reject,no_emails_found,0
ridejoy.com,support@ridejoy.com,https://ridejoy.com/privacy.php,httpx,html,1,88,high,domain_exact_match|high_value_prefix,1
ridejoy.com,info@ridejoy.com,https://ridejoy.com/privacy.php,httpx,html,1,85,high,domain_exact_match|seen_2_pages,2
tapengage.com,hello@subsplash.com,https://tapengage.com/company,httpx,mailto,1,55,low,domain_mismatch|about_or_team_page|mailto_link|seen_25_pages|high_value_prefix,25
snapjoy.com,,,,,,0,reject,no_emails_found,0
perfectaudience.com,,,,,,0,reject,no_emails_found,0
rentobo.com,,,,,,0,reject,no_emails_found,0
draftin.com,,,,,,0,reject,no_emails_found,0
